setting,setting_type,rep,n,p,s,rho,language,method,model_class,ibs,cindex_td,runtime_sec,status,error_message
setting1_highdim_s50_n1000,highdim,17,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1783194362071015,0.6422413793103449,1.175485134124756,success,
setting1_highdim_s50_n1000,highdim,17,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1981668978539909,0.5815598060344828,4.226342678070068,success,
setting1_highdim_s50_n1000,highdim,17,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2125642056172185,0.5602774784482759,28.661645889282227,success,
setting1_highdim_s50_n1000,highdim,18,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1779532779778482,0.653592997217887,0.9363927841186525,success,
setting1_highdim_s50_n1000,highdim,18,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1974379878006367,0.571893872565651,4.227680206298828,success,
setting1_highdim_s50_n1000,highdim,18,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2008226827744123,0.6046006649928751,29.08705973625183,success,
setting1_highdim_s50_n1000,highdim,19,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1593294509780861,0.6627872932220759,1.1760191917419434,success,
setting1_highdim_s50_n1000,highdim,19,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1868730328602777,0.5401844532279315,4.266827821731567,success,
setting1_highdim_s50_n1000,highdim,19,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.1896001091226111,0.6119894598155468,28.567291736602783,success,
setting1_highdim_s50_n1000,highdim,20,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.2124137410587122,0.6233757444504602,1.125782489776611,success,
setting1_highdim_s50_n1000,highdim,20,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2172547479500547,0.5360720086626962,4.297375440597534,success,
setting1_highdim_s50_n1000,highdim,20,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2371464698017996,0.5704520844612886,28.71715259552002,success,
setting1_highdim_s50_n1000,highdim,21,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1908683804271532,0.6835669549657024,0.8894214630126953,success,
setting1_highdim_s50_n1000,highdim,21,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2086656520267891,0.5835073068893528,4.411575078964233,success,
setting1_highdim_s50_n1000,highdim,21,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2272948139798171,0.6345809722636445,28.63543009757996,success,
setting1_highdim_s50_n1000,highdim,22,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1753376050732873,0.6964949548592672,1.1004557609558103,success,
setting1_highdim_s50_n1000,highdim,22,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2133870245115132,0.5673127987254382,4.366111516952515,success,
setting1_highdim_s50_n1000,highdim,22,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.22574540887823,0.620817843866171,29.08702516555786,success,
setting1_highdim_s50_n1000,highdim,23,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1786943184483106,0.6942409050006427,1.5788753032684326,success,
setting1_highdim_s50_n1000,highdim,23,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.213275799960143,0.5927497107597377,4.403511047363281,success,
setting1_highdim_s50_n1000,highdim,23,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2181917039375559,0.5913356472554313,28.623676538467407,success,
setting1_highdim_s50_n1000,highdim,24,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1592920402051246,0.6877956480605487,1.089442253112793,success,
setting1_highdim_s50_n1000,highdim,24,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1922988307083874,0.5613128593261043,4.3964684009552,success,
setting1_highdim_s50_n1000,highdim,24,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.1960407327950695,0.5560002910996289,28.622965812683105,success,
setting1_highdim_s50_n1000,highdim,25,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1680590403513645,0.6825867695045981,0.8519840240478516,success,
setting1_highdim_s50_n1000,highdim,25,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1931782455255752,0.5702313853455948,4.243581771850586,success,
setting1_highdim_s50_n1000,highdim,25,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.1871686256409431,0.6448383269059627,28.626745462417603,success,
setting1_highdim_s50_n1000,highdim,26,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1862824967732339,0.6791656002047607,1.5537006855010986,success,
setting1_highdim_s50_n1000,highdim,26,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.219201309050642,0.5650755055029434,4.49819278717041,success,
setting1_highdim_s50_n1000,highdim,26,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2227083941864503,0.6148579472741234,29.03774690628052,success,
setting1_highdim_s50_n1000,highdim,27,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1784177198029652,0.6812474956591426,1.666001319885254,success,
setting1_highdim_s50_n1000,highdim,27,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2087504015441035,0.5487511686924001,4.457258224487305,success,
setting1_highdim_s50_n1000,highdim,27,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.218779390731802,0.5510217710698544,28.775872468948364,success,
setting1_highdim_s50_n1000,highdim,28,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1889118988298652,0.6702039117769455,1.3321728706359863,success,
setting1_highdim_s50_n1000,highdim,28,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2134393594558195,0.568039950062422,4.283567667007446,success,
setting1_highdim_s50_n1000,highdim,28,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2449000472602407,0.5671382993480372,28.853790760040283,success,
setting1_highdim_s50_n1000,highdim,29,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1767222749704929,0.6735784072538131,1.2560091018676758,success,
setting1_highdim_s50_n1000,highdim,29,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1937207301001769,0.5921838757292472,4.398085117340088,success,
setting1_highdim_s50_n1000,highdim,29,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2025943704788415,0.6187530751388206,28.90792489051819,success,
setting1_highdim_s50_n1000,highdim,30,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1657377344109374,0.6883366562232982,1.1461515426635742,success,
setting1_highdim_s50_n1000,highdim,30,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2019805443605601,0.528766733124466,4.218785047531128,success,
setting1_highdim_s50_n1000,highdim,30,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2062445044392169,0.6122899458843635,28.7020525932312,success,
setting1_highdim_s50_n1000,highdim,31,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1728410288214988,0.6827521342786862,1.530841588973999,success,
setting1_highdim_s50_n1000,highdim,31,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1994529394742515,0.5696715381276226,4.247519254684448,success,
setting1_highdim_s50_n1000,highdim,31,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2144463553432774,0.598683258573289,28.69035243988037,success,
setting1_highdim_s50_n1000,highdim,32,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1738127882668821,0.6863364473418913,1.009923219680786,success,
setting1_highdim_s50_n1000,highdim,32,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2074729826621543,0.5605887492439008,4.354963302612305,success,
setting1_highdim_s50_n1000,highdim,32,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2152191149987582,0.6300154580280933,28.62850260734558,success,
