setting,setting_type,n,p,s,rho,model_class,language,ibs_mean,ibs_std,cindex_td_mean,cindex_td_std,runtime_sec_mean,runtime_sec_std
setting2_smooth_nonlinear_n1000,nonlinear,1000,50,,0.3,CoxPH,Python,0.1984601212297163,0.012219974038496955,0.6125072579062956,0.02526629367984525,0.15217190742492673,0.014826964385342605
setting2_smooth_nonlinear_n1000,nonlinear,1000,50,,0.3,CoxPH,R,0.19864781393860326,0.01201471203819561,0.6125072579062955,0.025266293679845255,0.024200000000005228,0.008422515984572072
setting2_smooth_nonlinear_n1000,nonlinear,1000,50,,0.3,DeepSurv,Python,0.20185092581621575,0.010007677767024869,0.5910468548579122,0.02488601992542407,0.38831583023071287,0.08206377556361064
setting2_smooth_nonlinear_n1000,nonlinear,1000,50,,0.3,DeepSurv,R,0.20016270604292477,0.010701508385310522,0.597220762987061,0.028248563204209643,0.4571799999999973,0.08652372330105518
setting2_smooth_nonlinear_n1000,nonlinear,1000,50,,0.3,RSF,Python,0.18380052507614014,0.00890491549516103,0.6764866932092238,0.02842744289189891,1.4232348966598511,0.040351422280813995
setting2_smooth_nonlinear_n1000,nonlinear,1000,50,,0.3,RSF,R,0.18275617990551588,0.008479219030752725,0.6812208827676167,0.027769600638717962,0.34515999999997804,0.03899364678762162
setting2_smooth_nonlinear_n1500,nonlinear,1500,50,,0.3,Boosting,Python,0.17368191298624347,0.010425722876969098,0.6919621766496022,0.019386166480018764,7.456430258750916,0.05447782877612223
setting2_smooth_nonlinear_n1500,nonlinear,1500,50,,0.3,Boosting,R,0.18956141392409007,0.02799755785825734,0.6933729806552242,0.019542238930978402,0.47703999999999724,0.008058358570876386
setting2_smooth_nonlinear_n1500,nonlinear,1500,50,,0.3,CoxPH,Python,0.19375232661890318,0.00942963300858738,0.6138513983342428,0.017086268430863676,0.18909381389617916,0.013955322791602758
setting2_smooth_nonlinear_n1500,nonlinear,1500,50,,0.3,CoxPH,R,0.19376874387967213,0.009468014850537276,0.6138520099176322,0.017085826498245606,0.031520000000009485,0.0073324551112897264
setting2_smooth_nonlinear_n1500,nonlinear,1500,50,,0.3,DeepSurv,Python,0.19901017307937996,0.010364828880526786,0.5899499240141407,0.03308809375696651,0.5377176809310913,0.1428072132653322
setting2_smooth_nonlinear_n1500,nonlinear,1500,50,,0.3,DeepSurv,R,0.19711448733301495,0.009017816120285207,0.5984429103874704,0.02102495668222524,0.6709800000000041,0.1820688914243427
setting2_smooth_nonlinear_n1500,nonlinear,1500,50,,0.3,RSF,Python,0.18108391267182344,0.007476140558395063,0.6808260267150366,0.019971830501982035,3.5846881246566773,0.08724379200298862
setting2_smooth_nonlinear_n1500,nonlinear,1500,50,,0.3,RSF,R,0.1804490335707079,0.007359589898532404,0.6825332655096381,0.01838642085678467,0.6335199999999941,0.08458330997619125
