n_samples,n_features,Replicate,GPU_Runtime_sec,GPU_ARI,GPU_NMI
10000,50,94,0.008039236068725586,0.719260085658114,0.8650901577808058
10000,50,95,0.006829261779785156,0.5332098889762336,0.7315475762523561
10000,50,96,0.004830837249755859,0.7191348006604573,0.8650365163304193
10000,50,97,0.004402637481689453,0.7190087114294361,0.8649825787059576
10000,50,98,0.0019388198852539062,1.0,1.0
10000,50,99,0.002053499221801758,1.0,1.0
10000,50,100,0.009112358093261719,0.36354328011944576,0.6699371920211016
1000,50,1,0.0012662410736083984,1.0,1.0
1000,50,2,0.0012674331665039062,1.0,1.0
1000,50,3,0.0011823177337646484,1.0,1.0
1000,50,4,0.001325368881225586,1.0,1.0
1000,50,5,0.0010993480682373047,1.0,1.0
1000,50,6,0.0011889934539794922,0.7819253438113949,0.9057460992755191
1000,50,7,0.0011868476867675781,1.0,1.0
1000,50,8,0.0011708736419677734,1.0,1.0
1000,50,9,0.0010972023010253906,1.0,1.0
1000,50,10,0.0019960403442382812,0.7207962567278825,0.8661144842651308
1000,50,11,0.0017223358154296875,0.7314215521385128,0.8709185139199893
1000,50,12,0.0016248226165771484,0.7302763703309042,0.870381074622222
1000,50,13,0.0016291141510009766,0.3697888101552264,0.6727974561292762
1000,50,14,0.0011746883392333984,1.0,1.0
1000,50,15,0.0011780261993408203,1.0,1.0
1000,50,16,0.0011718273162841797,1.0,1.0
1000,50,17,0.0013897418975830078,0.7189602014060461,0.8653227392725906
1000,50,18,0.0020759105682373047,0.40364662401688367,0.6838694377208119
1000,50,19,0.0019388198852539062,0.718821863149719,0.8652635066990572
1000,50,20,0.001592397689819336,0.7205398124569741,0.8660032680101749
1000,50,21,0.002083301544189453,0.40836566744314823,0.6866764594647222
1000,50,22,0.001402139663696289,0.7189602014060461,0.8653227392725908
1000,50,23,0.001634359359741211,0.4183209488897034,0.6924957762570717
1000,50,24,0.001168966293334961,1.0,1.0
1000,50,25,0.0014252662658691406,0.7297228129758184,0.8701231002701945
1000,50,26,0.0014107227325439453,0.7200661988488863,0.8657984118224497
1000,50,27,0.001260995864868164,1.0,1.0
1000,50,28,0.0019173622131347656,0.7182683131067041,0.8650270742658026
1000,50,29,0.0017199516296386719,0.7564792393418454,0.8842916869713656
1000,50,30,0.0014812946319580078,0.723691343022577,0.867384715150544
1000,50,31,0.0015172958374023438,0.7248901720406368,0.8679188248475498
1000,50,32,0.0012502670288085938,1.0,1.0
1000,50,33,0.0017888545989990234,0.7213483682291713,0.8663546344030166
1000,50,34,0.0014863014221191406,0.7200661988488863,0.8657984118224497
1000,50,35,0.001251220703125,1.0,1.0
1000,50,36,0.0019202232360839844,0.7198490487206457,0.8657047203168645
1000,50,37,0.001172780990600586,1.0,1.0
1000,50,38,0.001173257827758789,1.0,1.0
1000,50,39,0.0011844635009765625,1.0,1.0
1000,50,40,0.0015721321105957031,0.7186966829925816,0.8652099583333906
1000,50,41,0.001619577407836914,0.72865387594028,0.8696282196210303
1000,50,42,0.0017256736755371094,0.4192325148573162,0.696769441344066
1000,50,43,0.0015635490417480469,0.3682912357617397,0.6722289637694014
1000,50,44,0.001627206802368164,0.7184001393363726,0.8650832956938428
1000,50,45,0.0017795562744140625,0.7345054760605934,0.8723918846044134
1000,50,46,0.0013267993927001953,0.7794799886453703,0.9023105211927983
1000,50,47,0.0012869834899902344,1.0,1.0
1000,50,48,0.0011823177337646484,1.0,1.0
1000,50,49,0.0014908313751220703,0.7186966829925816,0.8652099583333906
1000,50,50,0.0016350746154785156,0.7222744212070986,0.866759629166906
1000,50,51,0.0016291141510009766,0.7182221697019923,0.865007407360227
1000,50,52,0.0012505054473876953,1.0,1.0
1000,50,53,0.0019276142120361328,0.5333706022166422,0.732284083235664
1000,50,54,0.001569509506225586,0.7439808783846331,0.8771851939336952
