n_samples,n_features,Replicate,CPU_Runtime_sec,CPU_ARI,CPU_NMI
1000,50,75,0.002899169921875,1.0,1.0
1000,50,76,0.00307464599609375,0.7198490487206457,0.8657047203168646
1000,50,77,0.002255678176879883,1.0,1.0
1000,50,78,0.0018954277038574219,1.0,1.0
1000,50,79,0.0017993450164794922,1.0,1.0
1000,50,80,0.0024161338806152344,1.0,1.0
1000,50,81,0.0025832653045654297,0.7182683131067041,0.8650270742658026
1000,50,82,0.0021381378173828125,1.0,1.0
1000,50,83,0.0028862953186035156,0.41810882701332436,0.6901242231238585
1000,50,84,0.0020232200622558594,1.0,1.0
1000,50,85,0.0024204254150390625,0.7320131308989769,0.8711981594071929
1000,50,86,0.002871274948120117,0.7431782258244006,0.8767619190477858
1000,50,87,0.0025680065155029297,1.0,1.0
1000,50,88,0.0024471282958984375,1.0,1.0
1000,50,89,0.002817392349243164,1.0,1.0
1000,50,90,0.0026581287384033203,0.7184001393363726,0.8650832956938429
1000,50,91,0.002276897430419922,1.0,1.0
1000,50,92,0.002393960952758789,0.7400897879030077,0.875164507993462
1000,50,93,0.002164125442504883,0.7181694316998902,0.8649849376139187
1000,50,94,0.002016782760620117,1.0,1.0
1000,50,95,0.0025072097778320312,0.718189208785996,0.8649933629295311
1000,50,96,0.0020585060119628906,1.0,1.0
1000,50,97,0.0019898414611816406,1.0,1.0
1000,50,98,0.0024449825286865234,0.7806972856071891,0.9038117108824201
1000,50,99,0.0023801326751708984,0.7794799886453703,0.9023105211927985
1000,50,100,0.0019690990447998047,1.0,1.0
5000,100,1,0.013078927993774414,0.7191832004212503,0.8650972455563674
5000,100,2,0.00882863998413086,0.7822267575404412,0.9052594201943568
5000,100,3,0.008393287658691406,1.0,1.0
5000,100,4,0.00951528549194336,1.0,1.0
5000,100,5,0.017728090286254883,0.7194944984130391,0.8652306964372338
5000,100,6,0.009000301361083984,0.7189143795210664,0.8649822417255479
5000,100,7,0.015665769577026367,0.7202755885491148,0.8655668535393609
5000,100,8,0.006110429763793945,1.0,1.0
5000,100,9,0.01703500747680664,0.7195194504812236,0.8652414060065287
5000,100,10,0.009276151657104492,0.7822267575404412,0.9052594201943566
5000,100,11,0.006222248077392578,1.0,1.0
5000,100,12,0.008695602416992188,1.0,1.0
5000,100,13,0.01374506950378418,0.7198285404149342,0.8653742275931863
5000,100,14,0.008448123931884766,1.0,1.0
5000,100,15,0.012487411499023438,1.0,1.0
5000,100,16,0.00899958610534668,1.0,1.0
5000,100,17,0.012330055236816406,0.5356125671838843,0.7330267174379348
5000,100,18,0.009810209274291992,0.7189900668139376,0.8650145991920329
5000,100,19,0.01544499397277832,0.7192178815816292,0.8651120984481787
5000,100,20,0.0065708160400390625,1.0,1.0
5000,100,21,0.013331413269042969,0.7197978196419063,0.8653610131693622
5000,100,22,0.023723602294921875,0.7189151679606997,0.8649825787059576
5000,100,23,0.013938665390014648,0.7256189686520663,0.86791882484755
5000,100,24,0.015510797500610352,0.7189403976917852,0.8649933629295312
5000,100,25,0.00988316535949707,1.0,1.0
5000,100,26,0.007302284240722656,1.0,1.0
5000,100,27,0.0062389373779296875,1.0,1.0
5000,100,28,0.017995595932006836,0.7223236579021155,0.8664573526309107
5000,100,29,0.02331852912902832,0.4075203574506487,0.6857207315724551
5000,100,30,0.008007049560546875,1.0,1.0
5000,100,31,0.008150100708007812,0.7822267575404412,0.9052594201943568
5000,100,32,0.008519887924194336,1.0,1.0
5000,100,33,0.010626077651977539,1.0,1.0
5000,100,34,0.02053689956665039,0.7189269944785663,0.8649876336053725
5000,100,35,0.010566949844360352,1.0,1.0
5000,100,36,0.006304502487182617,1.0,1.0
5000,100,37,0.009233713150024414,1.0,1.0
5000,100,38,0.024364709854125977,0.7192178815816292,0.8651120984481787
5000,100,39,0.006555795669555664,1.0,1.0
5000,100,40,0.0184326171875,0.7191056888152902,0.8650640629157489
5000,100,41,0.006769895553588867,1.0,1.0
5000,100,42,0.014525651931762695,0.7189732479240993,0.8650074073602272
5000,100,43,0.020209312438964844,0.7195194504812236,0.8652414060065287
5000,100,44,0.025977373123168945,0.7206796713479958,0.8657415005230293
5000,100,45,0.00658726692199707,1.0,1.0
5000,100,46,0.018522977828979492,0.3641346141176067,0.670212156041705
5000,100,47,0.01390838623046875,0.7194227904875151,0.86519992959795
5000,100,48,0.012393951416015625,0.7190300105126394,0.8650316827345123
5000,100,49,0.015438318252563477,0.7218073283487543,0.8662315964135476
5000,100,50,0.011367321014404297,0.7213331953266929,0.8660250409699478
5000,100,51,0.009254693984985352,1.0,1.0
5000,100,52,0.012040138244628906,1.0,1.0
5000,100,53,0.019066333770751953,0.7193558057840749,0.865171203499484
5000,100,54,0.013524293899536133,0.4047900370877106,0.6839593094909276
5000,100,55,0.01758742332458496,0.7200582590374649,0.8654731324676168
5000,100,56,0.017925500869750977,0.7195974543994396,0.8652748980367726
5000,100,57,0.016923189163208008,0.7213837910205806,0.8660470488506717
5000,100,58,0.005656242370605469,1.0,1.0
5000,100,59,0.011994123458862305,0.7195709285160783,0.8652635066990573
5000,100,60,0.008903741836547852,1.0,1.0
5000,100,61,0.020621061325073242,0.53359866554391,0.7318457853551521
5000,100,62,0.00646662712097168,1.0,1.0
5000,100,63,0.006373882293701172,1.0,1.0
5000,100,64,0.00873422622680664,0.7822267575404412,0.9052594201943566
5000,100,65,0.017370223999023438,0.5343034011430308,0.7322783194509066
5000,100,66,0.021184206008911133,0.7203522197445107,0.8655999349005924
5000,100,67,0.012789249420166016,0.7190300105126394,0.8650316827345123
5000,100,68,0.018224477767944336,0.7197379507331642,0.8653352691346607
5000,100,69,0.005856513977050781,1.0,1.0
5000,100,70,0.005831003189086914,1.0,1.0
5000,100,71,0.011632680892944336,1.0,1.0
5000,100,72,0.006657123565673828,1.0,1.0
5000,100,73,0.014452457427978516,0.7189403976917852,0.8649933629295313
5000,100,74,0.01182699203491211,0.7189151679606997,0.8649825787059576
5000,100,75,0.02214813232421875,0.40752543659567964,0.6857021298219871
5000,100,76,0.014165401458740234,0.40806611391158343,0.685861770652343
5000,100,77,0.011281251907348633,1.0,1.0
5000,100,78,0.008216142654418945,1.0,1.0
5000,100,79,0.015038490295410156,0.7198915543498227,0.8654013418991835
5000,100,80,0.006292104721069336,0.7819814658131629,0.9048585201990492
5000,100,81,0.0055310726165771484,1.0,1.0
5000,100,82,0.017994165420532227,0.7191201405998052,0.8650702483240025
5000,100,83,0.014469385147094727,0.7193558057840749,0.865171203499484
5000,100,84,0.005769252777099609,1.0,1.0
5000,100,85,0.017185688018798828,0.7206369094885137,0.8657229944778067
5000,100,86,0.015126705169677734,0.7205529543566722,0.8656866778581572
5000,100,87,0.022294282913208008,0.7223836297006679,0.8664836299152527
5000,100,88,0.009448528289794922,1.0,1.0
5000,100,89,0.011920928955078125,0.7192935452785881,0.8651445156421841
5000,100,90,0.014925956726074219,0.7190531350627193,0.8650415750998599
5000,100,91,0.005664825439453125,1.0,1.0
5000,100,92,0.018847227096557617,0.7189585311571005,0.8650011151092903
5000,100,93,0.01532602310180664,0.718916482025336,0.8649831403435521
5000,100,94,0.007285118103027344,0.7822267575404412,0.9052594201943566
5000,100,95,0.025475025177001953,0.7189269944785663,0.8649876336053725
5000,100,96,0.017563819885253906,0.5354080760657586,0.7330077285425907
